monkeyID,animal,chamber,experimentID,powerClusterID,contrast,conPct,inconPct,observedDeltaBias,nCon,nIncon,conCorrect,inconCorrect,conReconstructionErrorPct,inconReconstructionErrorPct,nullDeltaMean,nullDeltaMedian,nullDeltaLower95,nullDeltaUpper95,oneSidedContrastP,nPermutations
M2,Pepper,R,40,2,30,100,95,5,20,20,20,19,0,0,0.2,5,-5,5,0.520958083832335,500
M2,Pepper,R,41,2,0,55,50,5,40,40,22,20,0,0,0.74,0,-20,25,0.42315369261477,500
M2,Pepper,R,41,2,8,45,55,-10,20,20,9,11,0,0,-0.2,0,-30,30,0.816367265469062,500
M2,Pepper,R,41,2,13,80,45,35,20,20,16,9,0,0,0.1,5,-35,25,0.0199600798403194,500
M2,Pepper,R,41,2,18,100,90,10,20,20,20,18,0,0,0.38,0,-10,10,0.291417165668663,500
M2,Pepper,R,41,2,30,95,100,-5,20,20,19,20,0,0,-0.56,-5,-5,5,1,500
M2,Pepper,R,42,2,0,55,50,5,40,40,22,20,0,0,-0.52,0,-25,20,0.399201596806387,500
M2,Pepper,R,42,2,8,80,40,40,20,20,16,8,0,0,-0.86,0,-30,30,0.0119760479041916,500
M2,Pepper,R,42,2,13,40,70,-30,20,20,8,14,0,0,-0.12,0,-30,30,0.99001996007984,500
M2,Pepper,R,42,2,18,85,80,5,20,20,17,16,0,0,-0.14,5,-25,25,0.502994011976048,500
M2,Pepper,R,42,2,30,90,95,-5,20,20,18,19,0,0,0.24,5,-15,15,0.892215568862275,500
M2,Pepper,R,49,2,0,50,50,0,40,40,20,20,0,0,-0.36,0,-20,20,0.548902195608782,500
M2,Pepper,R,49,2,8,65,55,10,20,20,13,11,0,0,0.04,0,-30,30,0.363273453093812,500
M2,Pepper,R,49,2,13,70,80,-10,20,20,14,16,0,0,-0.48,0,-30,30,0.850299401197605,500
M2,Pepper,R,49,2,18,100,80,20,20,20,20,16,0,0,-0.12,0,-20,20,0.0439121756487026,500
M2,Pepper,R,49,2,30,90,100,-10,20,20,18,20,0,0,0.16,0,-10,10,1,500
M2,Pepper,R,52,2,0,55,50,5,40,40,22,20,0,0,-0.51,0,-20,20,0.403193612774451,500
M2,Pepper,R,52,2,10,80,70,10,20,20,16,14,0,0,-0.04,0,-30,30,0.359281437125749,500
M2,Pepper,R,52,2,15,100,90,10,20,20,20,18,0,0,0.04,0,-10,10,0.233532934131737,500
M2,Pepper,R,52,2,20,95,100,-5,20,20,19,20,0,0,-0.06,-5,-5,5,1,500
M2,Pepper,R,52,2,35,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M2,Pepper,R,54,2,0,65,50,15,40,40,26,20,0,0,0.15,0,-25,25,0.141716566866267,500
M2,Pepper,R,54,2,8,85,55,30,20,20,17,11,0,0,-0.24,0,-30,30,0.0419161676646707,500
M2,Pepper,R,54,2,13,100,75,25,20,20,20,15,0,0,-0.5,-5,-15,25,0.0419161676646707,500
M2,Pepper,R,54,2,18,95,100,-5,20,20,19,20,0,0,-0.16,-5,-5,5,1,500
M2,Pepper,R,54,2,30,90,90,0,20,20,18,18,0,0,0.98,0,-20,20,0.726546906187625,500
M2,Pepper,R,56,2,0,45,35,10,40,40,18,14,0,0,-0.89,0,-25,20,0.235528942115768,500
M2,Pepper,R,56,2,8,80,60,20,20,20,16,12,0,0,0.48,0,-30,30,0.151696606786427,500
M2,Pepper,R,56,2,12,80,80,0,20,20,16,16,0,0,-0.58,0,-30,20,0.644710578842315,500
M2,Pepper,R,56,2,18,95,100,-5,20,20,19,20,0,0,0.3,5,-5,5,1,500
M2,Pepper,R,56,2,30,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M2,Pepper,R,63,2,0,54.5454545454545,50,4.54545454545455,40,40,22,20,0.454545454545453,0,-0.33,0,-20,20,0.393213572854291,500
M2,Pepper,R,63,2,9,77.2727272727273,72.7272727272727,4.54545454545455,20,20,15,15,-2.27272727272727,2.27272727272728,0.22,0,-30,30,0.365269461077844,500
M2,Pepper,R,63,2,12,95.4545454545455,81.8181818181818,13.6363636363636,20,20,19,16,-0.454545454545453,-1.81818181818181,-0.58,-5,-25,15,0.159680638722555,500
M2,Pepper,R,63,2,18,95.4545454545455,100,-4.54545454545455,20,20,19,20,-0.454545454545453,0,-0.04,-5,-5,5,0.497005988023952,500
M2,Pepper,R,63,2,30,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
